CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,WL Cap,WL Act,WL Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
41045,ARCH,104,2,M,0.000,Fabrication Lab,S,09:30 am-02:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41046,ARCH,104,3,M,0.000,Fabrication Lab,F,02:30 pm-07:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41047,ARCH,104,4,M,0.000,Fabrication Lab,S,09:30 am-02:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41048,ARCH,104,5,M,0.000,Fabrication Lab,F,02:30 pm-07:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41049,ARCH,104,6,M,0.000,Fabrication Lab,S,09:30 am-02:00 pm,12,0,12,0,0,0,12,0,12,Luca Ameri (P),08/22-12/14,FR XARTS 001,In-Person Modality and Tuition (Liberal Arts)
41050,ARCH,110,1,M,4.000,Architecture Studio I,TR,09:00 am-11:45 am,12,0,12,0,0,0,0,0,0,TBA,08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41051,ARCH,110,2,M,4.000,Architecture Studio I,TR,09:00 am-11:45 am,12,0,12,0,0,0,0,0,0,Andrea Cernusak (P),08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41052,ARCH,110,3,M,4.000,Architecture Studio I,TR,09:00 am-11:45 am,12,0,12,0,0,0,0,0,0,TBA,08/22-12/14,FR XARTS 028,In-Person Modality and Tuition (Liberal Arts)
41053,ARCH,110,4,M,4.000,Architecture Studio I,TR,12:45 pm-03:30 pm,12,0,12,0,0,0,0,0,0,TBA,08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41054,ARCH,110,5,M,4.000,Architecture Studio I,TR,12:45 pm-03:30 pm,12,0,12,0,0,0,0,0,0,Yu-Chung Li (P),08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41055,ARCH,150,1,M,2.000,Architectonics I,F,09:15 am-11:15 am,12,0,12,0,0,0,0,0,0,Julia Weatherspoon (P),08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41056,ARCH,150,2,M,2.000,Architectonics I,F,09:15 am-11:15 am,12,0,12,0,0,0,0,0,0,Chidiebube Okenwa (P),08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41057,ARCH,150,3,M,2.000,Architectonics I,F,09:15 am-11:15 am,12,0,12,0,0,0,0,0,0,Gloria Yim Lim Jew (P),08/22-12/14,FR XARTS 028,In-Person Modality and Tuition (Liberal Arts)
41058,ARCH,150,4,M,2.000,Architectonics I,F,01:45 pm-03:45 pm,12,0,12,0,0,0,0,0,0,Dijon Marcelle Jones (P),08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41059,ARCH,150,5,M,2.000,Architectonics I,F,01:45 pm-03:45 pm,12,0,12,0,0,0,0,0,0,Jackson Lindsay (P),08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41060,ARCH,204,1,M,2.000,History of Architecture IV,W,04:45 pm-06:25 pm,40,0,40,0,0,0,0,0,0,TBA,08/22-12/14,KA 111,UG MJR/MNR ART MOD/CONTEMP and Core F Visual and Perf Arts and In-Person Modality and Tuition (Liberal Arts) and UG MJR-Urban Studies
41061,ARCH,240,1,M,4.000,Materials and Methods of Arch.,MW,09:00 am-11:45 am,12,0,12,0,0,0,0,0,0,Shu Chang (P),08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41062,ARCH,240,2,M,4.000,Materials and Methods of Arch.,MW,09:00 am-11:45 am,12,0,12,0,0,0,0,0,0,TBA,08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41063,ARCH,240,3,M,4.000,Materials and Methods of Arch.,MW,03:15 pm-06:00 pm,12,0,12,0,0,0,0,0,0,Kerstin Hellmann (P),08/22-12/14,FR XARTS 024,In-Person Modality and Tuition (Liberal Arts)
41064,ARCH,240,4,M,4.000,Materials and Methods of Arch.,MW,03:15 pm-06:00 pm,12,0,12,0,0,0,0,0,0,James Doyle (P),08/22-12/14,FR XARTS 026,In-Person Modality and Tuition (Liberal Arts)
41065,ARCH,240,5,M,4.000,Materials and Methods of Arch.,MW,03:15 pm-06:00 pm,12,0,12,0,0,0,0,0,0,TBA,08/22-12/14,FR XARTS 028,In-Person Modality and Tuition (Liberal Arts)
41066,ARCH,250,1,M,4.000,CADD 1,T,06:30 pm-09:30 pm,18,0,18,0,0,0,0,0,0,Robert Anthony Jackson (P),08/22-12/14,CO G25,In-Person Modality and Tuition (Liberal Arts)
41067,ARCH,250,2,M,4.000,CADD 1,W,05:30 pm-08:30 pm,18,0,18,0,0,0,0,0,0,Robert Anthony Jackson (P),08/22-12/14,CO G25,In-Person Modality and Tuition (Liberal Arts)
41068,ARCH,270,1,M,2.000,BIM & Applications,M,05:10 pm-08:10 pm,18,0,18,0,0,0,0,0,0,Dijon Marcelle Jones (P),08/22-12/14,CO G25,In-Person Modality and Tuition (Liberal Arts)
41069,ARCH,300,1,M,2.000,CADD 2: GIS for Architecture,T,06:30 pm-09:30 pm,13,0,13,0,0,0,30,0,30,TBA,10/24-12/14,CO 312,UG MJR-Environmental Studies and ENVA Pathway Courses and In-Person Modality and Tuition (Liberal Arts)
